status,name,address,rating,reviews,types,neighborhood,place_id,reason
NEW,"King Spa & Sauna","321 Commercial Ave, Palisades Park, NJ 07650, USA",4.1,4374,"Boutique Sauna","",ChIJ8T2RcxT3wokRn9NzrWR04z0,
NEW,"Perspire Sauna Studio Flatiron","50 W 23rd St, New York, NY 10010, USA",4.9,62,"Boutique Sauna","Flatiron",ChIJZRUpK31ZwokRelH9J1ARTN4,
NEW,"Aura Wellness Spa | Best Sauna & Body Scrub, Day Spa in NYC","49 W 33rd St, New York, NY 10001, USA",3.5,51,"Boutique Sauna","Chelsea",ChIJ2bJAGKlZwokRtEeAc6RQNH8,
NEW,"Bathhouse Studios","538 E 11th St, New York, NY 10009, USA",4.4,50,"Modern Bathhouse","East Village",ChIJMQkoRUxYwokR0rDX-INWka4,
NEW,"Healing Spa Woori NY | Women's Sauna in flushing | 뉴욕 여성 사우나, 뉴욕 찜질방","157-16B Northern Blvd, Flushing, NY 11354, USA",4.1,53,"Boutique Sauna","",ChIJCfpAkyVgwokRxS-LjDiCXgY,
NEW,"Malika Moroccan bath","65 Page Ave, Staten Island, NY 10309, USA",4.8,119,"Traditional Bathhouse","Staten Island",ChIJd82KKum1w4kRFQd0_2hStL8,
NEW,"Recoverie - Wellness Club","135 Bridge Park Dr, Brooklyn, NY 11201, USA",4.9,233,"Gym Sauna","Brooklyn",ChIJLdRBmdUXuC0R2IkUMYoAnhg,
NEW,"Restore Hyper Wellness","555 6th Ave, New York, NY 10011, USA",4.9,470,"Day Spa","Chelsea",ChIJ2xuBWv1ZwokRNBIGHfxJWiI,
NEW,"Restore Hyper Wellness","1492 3rd Ave, New York, NY 10028, USA",4.9,273,"Day Spa","Upper East Side",ChIJ0U2F8NZZwokRmNsiw4HiqDo,
NEW,"Sui Yoga & Spa Thermae","180 6th Ave, New York, NY 10013, USA",4.8,1048,"Gym Sauna","Tribeca",ChIJoycPFctZwokRZnJHvciUtKA,
